Parameter Name,Increment,Range Min,Range Max
SERVO31_MAX,1,800,2200
SERVO31_TRIM,1,800,2200
SERVO32_MIN,1,800,2200
SERVO32_MIN,1,800,2200
SERVO32_MAX,1,800,2200
SERVO32_TRIM,1,800,2200
SERVO3_MIN,1,800,2200
SERVO3_MIN,1,800,2200
SERVO3_MAX,1,800,2200
SERVO3_TRIM,1,800,2200
SERVO4_MIN,1,800,2200
SERVO4_MIN,1,800,2200
SERVO4_MAX,1,800,2200
SERVO4_TRIM,1,800,2200
SERVO5_MIN,1,800,2200
SERVO5_MIN,1,800,2200
SERVO5_MAX,1,800,2200
SERVO5_TRIM,1,800,2200
SERVO6_MIN,1,800,2200
SERVO6_MIN,1,800,2200
SERVO6_MAX,1,800,2200
SERVO6_TRIM,1,800,2200
SERVO7_MIN,1,800,2200
SERVO7_MIN,1,800,2200
SERVO7_MAX,1,800,2200
SERVO7_TRIM,1,800,2200
SERVO8_MIN,1,800,2200
SERVO8_MIN,1,800,2200
SERVO8_MAX,1,800,2200
SERVO8_TRIM,1,800,2200
SERVO9_MIN,1,800,2200
SERVO9_MIN,1,800,2200
SERVO9_MAX,1,800,2200
SERVO9_TRIM,1,800,2200
SIM_PLD_HEIGHT,1,0,10000
SIM_PLD_LAT,0.000001,-90,90
SIM_PLD_LON,0.000001,-180,180
SIM_PLD_YAW,1,-180,+180
SR0_RAW_SENS,1,0,50
SR0_RAW_SENS,1,0,50
SR0_EXT_STAT,1,0,50
SR0_RC_CHAN,1,0,50
SR0_RAW_CTRL,1,0,50
SR0_POSITION,1,0,50
SR0_EXTRA1,1,0,50
SR0_EXTRA3,1,0,50
SR0_PARAMS,1,0,50
SR0_ADSB,1,0,50
SR1_RAW_SENS,1,0,50
SR1_RAW_SENS,1,0,50
SR1_EXT_STAT,1,0,50
SR1_RC_CHAN,1,0,50
SR1_RAW_CTRL,1,0,50
SR1_POSITION,1,0,50
SR1_EXTRA1,1,0,50
SR1_EXTRA3,1,0,50
SR1_PARAMS,1,0,50
SR1_ADSB,1,0,50
SR2_RAW_SENS,1,0,50
SR2_RAW_SENS,1,0,50
SR2_EXT_STAT,1,0,50
SR2_RC_CHAN,1,0,50
SR2_RAW_CTRL,1,0,50
SR2_POSITION,1,0,50
SR2_EXTRA1,1,0,50
SR2_EXTRA3,1,0,50
SR2_PARAMS,1,0,50
SR2_ADSB,1,0,50
SR3_RAW_SENS,1,0,50
SR3_RAW_SENS,1,0,50
SR3_EXT_STAT,1,0,50
SR3_RC_CHAN,1,0,50
SR3_RAW_CTRL,1,0,50
SR3_POSITION,1,0,50
SR3_EXTRA1,1,0,50
SR3_EXTRA3,1,0,50
SR3_PARAMS,1,0,50
SR3_ADSB,1,0,50
SR4_RAW_SENS,1,0,50
SR4_RAW_SENS,1,0,50
SR4_EXT_STAT,1,0,50
SR4_RC_CHAN,1,0,50
SR4_RAW_CTRL,1,0,50
SR4_POSITION,1,0,50
SR4_EXTRA1,1,0,50
SR4_EXTRA3,1,0,50
SR4_PARAMS,1,0,50
SR4_ADSB,1,0,50
SR5_RAW_SENS,1,0,50
SR5_RAW_SENS,1,0,50
SR5_EXT_STAT,1,0,50
SR5_RC_CHAN,1,0,50
SR5_RAW_CTRL,1,0,50
SR5_POSITION,1,0,50
SR5_EXTRA1,1,0,50
SR5_EXTRA3,1,0,50
SR5_PARAMS,1,0,50
SR5_ADSB,1,0,50
SR6_RAW_SENS,1,0,50
SR6_RAW_SENS,1,0,50
SR6_EXT_STAT,1,0,50
SR6_RC_CHAN,1,0,50
SR6_RAW_CTRL,1,0,50
SR6_POSITION,1,0,50
SR6_EXTRA1,1,0,50
SR6_EXTRA3,1,0,50
SR6_PARAMS,1,0,50
SR6_ADSB,1,0,50
STEER2SRV_TCONST,0.1,0.4,1.0
STEER2SRV_TCONST,0.1,0.4,1.0
STEER2SRV_IMAX,10,0,4500
STEER2SRV_MINSPD,0.1,0,5
STEER2SRV_DRTSPD,0.1,0.0,30.0
STEER2SRV_DRTFCT,0.1,0.0,50.0
STEER2SRV_DRTMIN,10,0,4500
TECS_APPR_SMAX,0.1,0.0,20.0
TECS_LAND_SRC,0.1,-2.0,2.0
TECS_HDEM_TCONST,0.2,1.0,5.0
TKOFF_ALT,1,0,200
TKOFF_ALT,1,0,200
TKOFF_LVL_ALT,1,0,50
TKOFF_LVL_PITCH,1,0,30
TKOFF_DIST,1,0,500
TKOFF_GND_PITCH,0.1,-5.0,10.0
VISO_POS_X,0.01,-5,5
VISO_POS_Y,0.01,-5,5
VISO_POS_Z,0.01,-5,5
YAW_RATE_FLTT,1,2,50
YAW_RATE_FLTE,1,2,50
YAW_RATE_FLTD,1,0,50
